train epochs:  1000
test episode:  100
gamma:  0.9

Marginal rate:  1
P1 reward mean:  50.548088888888906
P2 reward mean:  36.16632888888889
P1 pair mean:  1.8444444444444446 , 5.311111111111111
P2 pair mean:  4.155555555555556 , 0.6888888888888889
Total Utility:  86.7144177777778
Std:  2.035790864613663
Success Episode:  90
step mean:  30.066666666666666

Marginal rate:  0.9
P1 reward mean:  49.41216344086022
P2 reward mean:  36.85907956989248
P1 pair mean:  1.6989247311827957 , 5.311827956989247
P2 pair mean:  4.301075268817204 , 0.6881720430107527
Total Utility:  86.2712430107527
Std:  2.076494150482791
Success Episode:  93
step mean:  29.150537634408604

Marginal rate:  0.8
P1 reward mean:  51.17784347826087
P2 reward mean:  34.2960347826087
P1 pair mean:  1.826086956521739 , 5.532608695652174
P2 pair mean:  4.173913043478261 , 0.4673913043478261
Total Utility:  85.47387826086957
Std:  2.14805270763606
Success Episode:  92
step mean:  35.630434782608695

Marginal rate:  0.7
P1 reward mean:  52.68968791208791
P2 reward mean:  33.895314285714285
P1 pair mean:  2.098901098901099 , 5.428571428571429
P2 pair mean:  3.901098901098901 , 0.5714285714285714
Total Utility:  86.5850021978022
Std:  2.0475125621855637
Success Episode:  91
step mean:  35.120879120879124

Marginal rate:  0.6
P1 reward mean:  43.70824827586207
P2 reward mean:  48.235310344827596
P1 pair mean:  1.8275862068965518 , 3.7758620689655173
P2 pair mean:  4.172413793103448 , 2.2241379310344827
Total Utility:  91.94355862068966
Std:  1.476832584539839
Success Episode:  58
step mean:  41.93103448275862

Marginal rate:  0.5
P1 reward mean:  50.10890322580646
P2 reward mean:  41.0647741935484
P1 pair mean:  2.2096774193548385 , 4.532258064516129
P2 pair mean:  3.7903225806451615 , 1.467741935483871
Total Utility:  91.17367741935486
Std:  1.5709048142659283
Success Episode:  62
step mean:  39.5

Marginal rate:  0.4
P1 reward mean:  51.278079999999996
P2 reward mean:  42.68
P1 pair mean:  2.7222222222222223 , 3.988888888888889
P2 pair mean:  3.2777777777777777 , 2.011111111111111
Total Utility:  93.95808
Std:  1.1832159566199232
Success Episode:  90
step mean:  42.34444444444444

Marginal rate:  0.3
P1 reward mean:  48.4696935064935
P2 reward mean:  42.30088311688312
P1 pair mean:  1.9870129870129871 , 4.5064935064935066
P2 pair mean:  4.012987012987013 , 1.4935064935064934
Total Utility:  90.77057662337663
Std:  1.6196841122196093
Success Episode:  76
step mean:  45.64473684210526

Marginal rate:  0.2
P1 reward mean:  50.90370909090909
P2 reward mean:  40.25327272727273
P1 pair mean:  2.3295454545454546 , 4.534090909090909
P2 pair mean:  3.6704545454545454 , 1.4659090909090908
Total Utility:  91.15698181818182
Std:  1.5703213336477
Success Episode:  87
step mean:  43.28735632183908

Marginal rate:  0.1
P1 reward mean:  49.200853333333335
P2 reward mean:  41.80453333333334
P1 pair mean:  2.1666666666666665 , 4.433333333333334
P2 pair mean:  3.8333333333333335 , 1.5666666666666667
Total Utility:  91.00538666666668
Std:  1.591644851508443
Success Episode:  60
step mean:  44.7

Total Utility mean:  89.5052802395472
Std mean:  1.732045393771952
Success Episode mean:  79.9
Step mean:  38.73760902957104
